                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68458,                 1.2127,                 1.0249,                0.97186,                0.49233,                0.41644,                0.40272,                0.32584,                0.49199,                0.41591,                0.39963,                0.30745,                0.75647,                 1.4724,                 1.2173,                 1.0464,              0.0082675,              0.0082675,              0.0082675
                     37,                0.68411,                 1.2218,                 1.0095,                0.96927,                0.46905,                0.43335,                0.40318,                0.32015,                 0.4631,                0.42837,                0.39692,                0.30163,                0.74695,                  1.456,                 1.1952,                 1.0442,               0.008218,               0.008218,               0.008218
                     38,                0.67575,                  1.201,                 1.0035,                0.96761,                0.50351,                0.43267,                0.40735,                0.32756,                0.49973,                0.42925,                0.40171,                0.30945,                 0.7479,                 1.4502,                 1.1983,                 1.0405,              0.0081685,              0.0081685,              0.0081685
                     39,                0.66887,                 1.1955,                0.97879,                0.96293,                0.45574,                0.46148,                0.40867,                0.33094,                0.45474,                 0.4595,                0.40578,                0.31171,                0.74181,                 1.4574,                  1.196,                 1.0374,               0.008119,               0.008119,               0.008119
                     40,                   0.67,                 1.1755,                0.96992,                0.96356,                0.46515,                0.44365,                0.40964,                0.33125,                0.46357,                0.44211,                0.40578,                0.31052,                0.75264,                 1.4635,                 1.1948,                 1.0423,              0.0080695,              0.0080695,              0.0080695
                     41,                0.66427,                 1.1784,                0.96473,                0.96229,                0.48548,                0.44462,                0.41314,                0.33367,                0.48438,                0.44487,                0.40997,                0.31528,                0.74804,                 1.4504,                 1.1913,                  1.047,                0.00802,                0.00802,                0.00802
                     42,                0.65668,                 1.1777,                0.96038,                0.95644,                0.44444,                0.45621,                0.40181,                0.32602,                0.44055,                 0.4551,                 0.3985,                0.30654,                0.74885,                 1.4606,                 1.1911,                 1.0406,              0.0079705,              0.0079705,              0.0079705
                     43,                0.65738,                 1.1633,                0.95291,                0.95734,                0.48812,                 0.4419,                0.41027,                0.32884,                0.48867,                0.43847,                 0.4064,                 0.3109,                0.74303,                 1.4622,                 1.2068,                 1.0402,               0.007921,               0.007921,               0.007921
                     44,                0.65509,                   1.16,                0.93568,                0.95454,                0.52472,                0.43455,                 0.4157,                0.33621,                0.52232,                0.43231,                0.41096,                0.31627,                0.74606,                 1.4943,                 1.2046,                 1.0448,              0.0078715,              0.0078715,              0.0078715
                     45,                0.65264,                 1.1554,                   0.93,                0.94927,                0.50097,                0.43352,                0.42359,                 0.3451,                0.50058,                 0.4321,                0.41944,                0.32531,                0.73289,                 1.4624,                 1.1907,                 1.0338,               0.007822,               0.007822,               0.007822
